month_day,historic_norm_c,sample_count,reference_period,geography,weighting,grid_selection
07-16,20.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-17,20.63,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-18,20.64,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-19,20.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-20,20.75,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-21,20.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-22,20.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-23,20.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-24,20.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-25,20.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-26,20.82,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-27,20.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-28,20.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-29,20.82,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-30,20.86,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-31,20.89,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-01,20.91,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-02,20.92,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-03,20.93,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-04,20.95,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-05,20.97,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-06,20.97,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-07,20.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-08,20.9,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-09,20.87,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-10,20.85,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-11,20.83,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-12,20.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-13,20.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-14,20.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-15,20.66,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-16,20.57,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-17,20.49,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-18,20.43,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-19,20.35,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-20,20.25,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-21,20.18,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-22,20.07,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-23,19.98,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-24,19.92,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-25,19.84,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-26,19.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-27,19.67,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-28,19.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-29,19.45,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-30,19.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
08-31,19.2,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-01,19.1,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-02,19.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-03,18.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-04,18.85,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-05,18.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-06,18.68,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-07,18.6,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-08,18.52,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-09,18.44,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-10,18.35,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-11,18.25,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-12,18.16,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-13,18.06,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-14,17.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-15,17.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-16,17.71,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-17,17.6,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-18,17.48,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-19,17.39,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-20,17.3,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-21,17.21,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-22,17.12,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-23,17.0,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-24,16.87,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-25,16.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-26,16.64,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-27,16.51,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-28,16.37,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-29,16.26,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
09-30,16.11,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-01,15.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-02,15.82,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-03,15.66,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-04,15.52,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-05,15.36,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-06,15.2,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-07,15.05,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-08,14.91,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-09,14.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-10,14.6,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
